,id,breed
5520,8b477eed0b8ca385a5008c20753d16df.jpg,basenji
8733,db14ac3935698082d5e1424f1f52f0e4.jpg,shetland_sheepdog
5455,89c100870ed663f0136cd385dcc10e76.jpg,french_bulldog
9988,fa85c1ccb2fa7ff39d78bf2b821bcdd5.jpg,whippet
1773,2bfe3d604c6462925a5e91b6705ee4f4.jpg,greater_swiss_mountain_dog
4224,6930f2a5b07417d227aaf2b05917bbdc.jpg,norwegian_elkhound
6163,9b370c5ad5420941ed36037665a2ab00.jpg,papillon
5404,8847eac09561675bf7e3d6d9632b8865.jpg,beagle
9882,f84d455704632ab197b47cfe4061da36.jpg,saint_bernard
2524,3eea07541e806bb8694e7667a1230c0e.jpg,bloodhound
7582,be1032723cc8abb85c6cf81e129e6161.jpg,keeshond
5524,8b77681bdddba868aac232c323dc6b01.jpg,welsh_springer_spaniel
8052,c940c8808aefc1ad992d341273bf4050.jpg,leonberg
4273,6a9f93acce8890105a66f3a4b4a13d3d.jpg,wire-haired_fox_terrier
5093,80e133f30d0c46942517a82581be7daf.jpg,ibizan_hound
1753,2b5c0c29ae9783290d924b2f8d365466.jpg,whippet
915,168e2da635938b82819b8a45bbd3dd0d.jpg,collie
1386,220b9f4199980cddc4eb6a38d361b03b.jpg,irish_water_spaniel
614,0f04466edd10d6c1d27e123399cf4433.jpg,australian_terrier
5084,80bf57cf8a0b9763ab85a09be29b67d2.jpg,bluetick
9964,fa2a33c1dc8b39ad51738408b289a0de.jpg,briard
10060,fc2d73fcdab269bde56ee0756e40d0c6.jpg,saluki
8110,ca9cc76eca157a803c3459b34e722351.jpg,miniature_poodle
9705,f41a7b3079bbeda29028c5919e0d84af.jpg,newfoundland
7687,c075c594a9483e562e8a2a198f384c6b.jpg,weimaraner
4670,74fb77719ce0aa24eb84509e9156467c.jpg,eskimo_dog
2727,43351563862e3954bff12de51166594a.jpg,cocker_spaniel
2696,427df2d262825c96b28605c3e5843ffc.jpg,weimaraner
32,00ddcec076073cc96f82c27bf4548fbc.jpg,ibizan_hound
1863,2de8d47770da0fb805ccf8461d062c54.jpg,boston_bull
2520,3eda7915db371a5908b29137704004ee.jpg,samoyed
842,1493bf7f5cb1ca62b4e0772d9edc702e.jpg,basenji
4969,7d1b168750bb09cfe75266cbe85c6ea3.jpg,japanese_spaniel
3856,5f886388c9da2c09d6e3adde3c247243.jpg,irish_setter
745,12815630b892efa2744926fe59382491.jpg,brittany_spaniel
1992,3139e84651b1d63dd6db10cf5a561faa.jpg,dingo
2085,33f3e216d70fbbcacde39cbeaecfdfa7.jpg,brittany_spaniel
258,060b163b5ad74c889c47b9f421825cdb.jpg,dingo
8225,cdb32ac86d0475b5d32667582acaf267.jpg,shih-tzu
10064,fc416bf2011ddccc885698a7ad19ba11.jpg,malinois
5714,9000dac1467ed4a3fff4d7658bbbf3e4.jpg,lhasa
2927,485d2218001019088c6fd9f503e0f040.jpg,norwegian_elkhound
8265,cede92d889f449e6bb5ad7fe10e5f887.jpg,lhasa
9928,f988271af1ca0e21b76b8cb318bcf4b3.jpg,border_collie
3305,520b060d394dc47785d2eef1b627b895.jpg,briard
3228,50115198d753b8f0f6a4e6d709e46eed.jpg,brabancon_griffon
9894,f8a95fd0eee5042ed2b93e6abd032baa.jpg,mexican_hairless
8241,ce293768d21d78ee39f43642af69a674.jpg,leonberg
6284,9e98898921d8ac40effaa332fe44257a.jpg,shih-tzu
5330,861a9b6f692cb41c875130c525f7a17e.jpg,appenzeller
6008,97b4eef9edb80dd5e6abd60ebdb9a80b.jpg,kuvasz
8102,ca6d8156597b78fbf96f9e73b0319f28.jpg,english_foxhound
4023,6421c5d038254801f8bea318e2b52817.jpg,dingo
9609,f19b045bcf373d6fcf05c80247850d50.jpg,boston_bull
6667,a75dc89b84b4986afa0365ae9f734681.jpg,walker_hound
